[20-12-27 14:38:36 GMT+7] - [MrHecka | 854756142] > /saran anjay mabar
[20-12-27 14:38:43 GMT+7] - [MrHecka | 854756142] > /sendprivate 854756142 test
[20-12-27 14:38:59 GMT+7] - [MrHecka | 854756142] > /showmonitorlogs
[20-12-27 14:40:13 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 14:42:57 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 14:44:24 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 14:45:20 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 14:46:51 GMT+7] - [MrHecka | 854756142] > /menu
[20-12-27 14:46:55 GMT+7] - [MrHecka | 854756142] > /infomenu 🗒🔍
[20-12-27 14:46:57 GMT+7] - [MrHecka | 854756142] > /about 🤖❗️
[20-12-27 14:52:32 GMT+7] - [MrHecka | 854756142] > /start
[20-12-27 14:52:43 GMT+7] - [MrHecka | 854756142] > /menu ✏️🗒
[20-12-27 14:53:02 GMT+7] - [MrHecka | 854756142] > /infomenu 🗒🔍
[20-12-27 14:53:04 GMT+7] - [MrHecka | 854756142] > /about 🤖❗️
